,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
0,ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/301496936/,Москва,sale,flat,7,8,1,53.2,-1,0,58786000,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
1,MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300932847/,Москва,sale,flat,10,14,1,65.2,-1,0,35000000,Мещанский, Гиляровского,50,Проспект Мира,
2,Гранд Сервис Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298431842/,Москва,sale,flat,1,5,1,30.0,-1,0,6500000,Донской, Стасовой,5,Ленинский проспект,
3,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/292787122/,Москва,sale,flat,4,14,1,45.0,-1,0,25750000,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
4,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478863/,Москва,sale,flat,37,37,1,48.0,-1,0,40000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
5,SITRealty,real_estate_agent,https://www.cian.ru/sale/flat/300609717/,Москва,sale,flat,4,7,1,40.0,-1,0,9850000,, Медовая Долина,2,Санино,Баркли Медовая долина
6,Unique,real_estate_agent,https://www.cian.ru/sale/flat/287678758/,Москва,sale,flat,4,26,1,46.0,-1,0,32000000,Очаково-Матвеевское,Нежинская ,5к2,Давыдково,Городские резиденции SPIRES
7,ID 57545487,unknown,https://www.cian.ru/sale/flat/301314063/,Москва,sale,flat,10,16,1,38.8,-1,0,14400000,, Лобановский Лес,13,Прокшино,Прокшино
8,СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,-1,0,9750000,Гольяново,Уральская ,1,Щёлковская,
9,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/293760838/,Москва,sale,flat,18,48,1,42.4,-1,0,19450000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
10,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299888104/,Москва,sale,flat,44,65,1,52.0,-1,0,44000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
11,Владис,real_estate_agent,https://www.cian.ru/sale/flat/301215426/,Москва,sale,flat,1,9,1,32.5,-1,0,7400000,Марьино,Батайский проезд,13,Курьяново,
12,ID 115757863,homeowner,https://www.cian.ru/sale/flat/301203125/,Москва,sale,flat,9,30,1,38.0,-1,0,14000000,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект,
13,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/297087850/,Москва,sale,flat,51,75,1,123.0,-1,0,99000000,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
14,ID 96167522,realtor,https://www.cian.ru/sale/flat/298016918/,Москва,sale,flat,3,9,1,30.3,-1,0,6825000,Люблино, Верхние Поля,27С2,Братиславская,
