author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 413522,realtor,https://www.cian.ru/sale/flat/301734984/,Москва,sale,flat,7,12,2,78.0,-1,0,102999000,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822469/,Москва,sale,flat,3,21,2,51.0,-1,0,52000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/276019027/,Москва,sale,flat,6,6,2,130.0,-1,0,58000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ID 413522,realtor,https://www.cian.ru/sale/flat/301734996/,Москва,sale,flat,7,14,2,95.0,-1,0,166990000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ID 413522,realtor,https://www.cian.ru/sale/flat/301735020/,Москва,sale,flat,10,21,2,54.0,-1,0,61800000,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,-1,0,194940000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
ID 25751693,realtor,https://www.cian.ru/sale/flat/299894208/,Москва,sale,flat,12,12,2,77.4,-1,0,34868700,Таганский, Рогожский Вал,10,Площадь Ильича,Рогожский вал 12
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/295277285/,Москва,sale,flat,6,6,2,122.3,-1,0,68000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ID 111240424,homeowner,https://www.cian.ru/sale/flat/300143306/,Москва,sale,flat,38,52,2,63.0,-1,0,36000000,Пресненский,Шмитовский проезд,39к1,Шелепиха,Headliner
Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734726/,Москва,sale,flat,3,6,2,127.4,-1,0,189000000,Хамовники,переулок Хилков,5,Парк Культуры,Особняк в Хилковом переулке
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300652339/,Москва,sale,flat,8,9,2,55.7,-1,0,40000000,Тверской,1-я Тверская-Ямская ,28,Белорусская,
Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734696/,Москва,sale,flat,5,14,2,129.5,-1,0,147800000,Хамовники, Усачева,11Е,Спортивная,Садовые кварталы
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,-1,0,62000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478855/,Москва,sale,flat,3,5,2,69.3,-1,0,52000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680518/,Москва,sale,flat,8,11,2,142.0,-1,0,229559749,Хамовники, Усачева,2С3,Фрунзенская,Фьюжн парк
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301565559/,Москва,sale,flat,5,21,2,117.0,-1,0,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Барно Турсунова,realtor,https://www.cian.ru/sale/flat/299059276/,Москва,sale,flat,5,17,2,51.1,-1,0,14980000,Останкинский,Березовая аллея,19к6,Ботанический сад,Апарт-комплекс Легендарный квартал
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272186797/,Москва,sale,flat,11,24,2,46.5,-1,0,21900000,Головинский,Головинское шоссе,11,Водный стадион,Талисман на Водном
ID 86900871,realtor,https://www.cian.ru/sale/flat/297947020/,Москва,sale,flat,2,3,2,46.3,-1,0,56000000,Басманный, Маросейка,11/4С1,Китай-город,
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680524/,Москва,sale,flat,5,14,2,100.1,-1,0,125000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680554/,Москва,sale,flat,9,14,2,99.71,-1,0,118450000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Choice Estate,real_estate_agent,https://www.cian.ru/sale/flat/298409167/,Москва,sale,flat,14,21,2,60.0,-1,0,64276729,Пресненский,Лаки жилой квартал,,Улица 1905 года,
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680552/,Москва,sale,flat,8,14,2,100.0,-1,0,113300000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ID 112591621,homeowner,https://www.cian.ru/sale/flat/301839935/,Москва,sale,flat,13,45,2,51.0,-1,0,32300000,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779246/,Москва,sale,flat,30,37,2,69.5,-1,0,40000000,Хорошево-Мневники,Шелепихинская набережная,34к1зд4,Шелепиха,Сердце Столицы
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298308357/,Москва,sale,flat,12,79,2,61.0,-1,0,57000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
ID 413522,realtor,https://www.cian.ru/sale/flat/301734987/,Москва,sale,flat,9,14,2,99.71,-1,0,101999000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Москва,sale,flat,5,6,2,43.0,-1,0,27999000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/301119738/,Москва,sale,flat,12,17,2,53.0,-1,0,9200000,Крюково,Зеленоград,к1546,Зеленоград — Крюково,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/298979500/,Москва,sale,flat,8,9,2,43.2,-1,0,6600000,,,22,Апрелевка,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301405653/,Москва,sale,flat,2,5,2,55.1,-1,0,14700000,Фили-Давыдково, Алексея Свиридова,13К2,Кунцевская,
МГСН-Проспект Мира,real_estate_agent,https://www.cian.ru/sale/flat/301595890/,Москва,sale,flat,12,22,2,53.0,-1,0,19490000,Проспект Вернадского,проспект Вернадского,58,Проспект Вернадского,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050415/,Москва,sale,flat,11,13,2,83.0,-1,0,100000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300099334/,Москва,sale,flat,8,14,2,40.8,-1,0,14900000,Очаково-Матвеевское,Озерная ,29К1,Озёрная,
ID 413522,realtor,https://www.cian.ru/sale/flat/301734978/,Москва,sale,flat,8,14,2,100.0,-1,0,111999000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779311/,Москва,sale,flat,3,25,2,43.2,-1,0,18500000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
Доступная Недвижимость. 8 отдел,real_estate_agent,https://www.cian.ru/sale/flat/300822574/,Москва,sale,flat,5,14,2,47.0,-1,0,14700000,Аэропорт, 4-я 8 Марта,4к2,Гражданская,
ID 104053634,homeowner,https://www.cian.ru/sale/flat/299900027/,Москва,sale,flat,21,26,2,87.0,-1,0,37000000,Хорошевский,проезд Березовой Рощи,12,ЦСКА,Гранд-парк
ID 413522,realtor,https://www.cian.ru/sale/flat/301734946/,Москва,sale,flat,1,7,2,62.0,-1,0,82400000,Якиманка, Большая Полянка,44/2,Полянка,Полянка/44
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301458215/,Москва,sale,flat,4,9,2,45.8,-1,0,16900000,Алексеевский, Космонавтов,22,ВДНХ,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/295467334/,Москва,sale,flat,5,10,2,106.2,-1,0,70000000,Хамовники, Пречистенка,40/2С4,Парк Культуры,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299509241/,Москва,sale,flat,24,24,2,57.4,-1,0,39300000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300183001/,Москва,sale,flat,3,5,2,53.0,-1,0,6700000,,,43,Подольск,
RND,real_estate_agent,https://www.cian.ru/sale/flat/298253114/,Москва,sale,flat,4,21,2,65.1,-1,0,68500000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
One Click Property,real_estate_agent,https://www.cian.ru/sale/flat/293612862/,Москва,sale,flat,9,9,2,131.6,-1,0,57000000,Басманный,Нижняя Красносельская ,35С49,Бауманская,Лофтек
Татьяна Серебрякова,realtor,https://www.cian.ru/sale/flat/293054575/,Москва,sale,flat,3,5,2,40.0,-1,0,7499999,Даниловский,Автозаводская ,23К7,ЗИЛ,Галерея ЗИЛ
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300942839/,Москва,sale,flat,2,7,2,82.6,-1,0,40000000,Беговой,Ленинградский проспект,15С28,Белорусская,Bolshevik
RND,real_estate_agent,https://www.cian.ru/sale/flat/301423340/,Москва,sale,flat,7,19,2,83.0,-1,0,72900000,Пресненский, Пресненский Вал,21,Белорусская,Пресненский вал 21
Реалист,real_estate_agent,https://www.cian.ru/sale/flat/301562170/,Москва,sale,flat,4,5,2,53.5,-1,0,7500000,,,5,Прокшино,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/295800676/,Москва,sale,flat,4,17,2,44.5,-1,0,40000000,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
ID 85604823,unknown,https://www.cian.ru/sale/flat/299429352/,Москва,sale,flat,38,51,2,63.0,-1,0,36000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/301426483/,Москва,sale,flat,1,5,2,45.8,-1,0,11000000,Фили-Давыдково,Кутузовский проспект,63,Кунцевская,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/289514736/,Москва,sale,flat,2,5,2,64.0,-1,0,166400000,Хамовники,Пречистенская набережная,43,Кропоткинская,Carré Blanc
ELSTATE,real_estate_agent,https://www.cian.ru/sale/flat/298708075/,Москва,sale,flat,3,5,2,70.0,-1,0,89999999,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов 
Алексей Дорошевич,realtor,https://www.cian.ru/sale/flat/301311609/,Москва,sale,flat,2,17,2,54.0,-1,0,13800000,Некрасовка,проспект Защитников Москвы,1,Некрасовка,
ID 88506405,homeowner,https://www.cian.ru/sale/flat/296171171/,Москва,sale,flat,2,21,2,46.0,-1,0,23500000,Хорошевский, Зорге,9Ак1,Зорге,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301258691/,Москва,sale,flat,2,21,2,57.23,-1,0,63000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Людмила Геберт,realtor,https://www.cian.ru/sale/flat/301652063/,Москва,sale,flat,3,9,2,35.0,-1,0,12100000,Свиблово, Седова,13К1,Ботанический сад,
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/301734845/,Москва,sale,flat,7,15,2,120.0,-1,0,140000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298977332/,Москва,sale,flat,4,21,2,55.7,-1,0,49100000,Пресненский,2-я Черногрязская ,6к4,Улица 1905 года,RedSide
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301233705/,Москва,sale,flat,6,12,2,46.7,-1,0,16990000,Тимирязевский,проезд Соломенной Сторожки,12А,Гражданская,
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/292008027/,Москва,sale,flat,2,24,2,68.0,-1,0,38300000,Хорошево-Мневники,Шелепихинская набережная,34к4зд8,Шелепиха,Сердце Столицы
ID 57545487,unknown,https://www.cian.ru/sale/flat/301314063/,Москва,sale,flat,10,16,2,38.8,-1,0,14400000,, Лобановский Лес,13,Прокшино,Прокшино
Евгений Подгорнов,realtor,https://www.cian.ru/sale/flat/301341551/,Москва,sale,flat,3,14,2,60.0,-1,0,14500000,Марьино,Белореченская ,37К2,Люблино,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/297131630/,Москва,sale,flat,3,13,2,69.23,-1,0,52000000,Раменки,проспект Генерала Дорохова,39к1,Минская,Собрание клубных домов West Garden
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301655618/,Москва,sale,flat,1,11,2,74.13,-1,0,100000000,Дорогомилово,,3к2,Парк Победы,Виктори Парк Резиденсез ЖК
Адресъ-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301209198/,Москва,sale,flat,5,5,2,58.4,-1,0,14500000,Измайлово,Верхняя Первомайская ,6к3,Первомайская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300701528/,Москва,sale,flat,11,41,2,67.1,-1,0,33000000,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/294226335/,Москва,sale,flat,25,73,2,105.0,-1,0,70000000,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539730/,Москва,sale,flat,2,8,2,65.0,-1,0,37000000,Басманный,Чистопрудный бульвар,12К2,Чистые пруды,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300983679/,Москва,sale,flat,13,21,2,90.0,-1,0,56700000,Раменки,Мосфильмовская ,88к4,Раменки,Мосфильмовский
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/299655879/,Москва,sale,flat,14,24,2,46.0,-1,0,31000000,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301814141/,Москва,sale,flat,8,9,2,37.1,-1,0,11300000,Северное Медведково, Тихомирова,11К2,Медведково,
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/300577056/,Москва,sale,flat,35,78,2,83.0,-1,0,63000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
ID 413522,realtor,https://www.cian.ru/sale/flat/301735012/,Москва,sale,flat,3,12,2,65.6,-1,0,82000000,Раменки,Мосфильмовская ,1сА,Ломоносовский проспект,Вишневый сад
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297674017/,Москва,sale,flat,9,16,2,39.4,-1,0,15100000,Гагаринский, Вавилова,8,Ленинский проспект,
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/301734839/,Москва,sale,flat,9,15,2,97.25,-1,0,125740000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Центр Недвижимости Татьяны Анисимовой,real_estate_agent,https://www.cian.ru/sale/flat/300146578/,Москва,sale,flat,8,12,2,46.8,-1,0,13500000,Котловка,Нагорная ,25К2,Нагорная,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/299151784/,Москва,sale,flat,28,58,2,52.0,-1,0,33200000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
EXCLUSIVE CITY,real_estate_agent,https://www.cian.ru/sale/flat/298381402/,Москва,sale,flat,8,21,2,51.0,-1,0,45000000,Пресненский,набережная Пресненская,10с2,Деловой центр,МФК IQ-квартал
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/283627992/,Москва,sale,flat,54,67,2,82.0,-1,0,75000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/301628710/,Москва,sale,flat,2,5,2,75.1,-1,0,84500000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
Novel Estates,real_estate_agent,https://www.cian.ru/sale/flat/301247847/,Москва,sale,flat,15,77,2,98.0,-1,0,90000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
ID 13184731,realtor,https://www.cian.ru/sale/flat/301310331/,Москва,sale,flat,6,14,2,43.0,-1,0,13700000,Люблино,Высотный проезд,4,Люблино,
CITYZEN,real_estate_agent,https://www.cian.ru/sale/flat/301499961/,Москва,sale,flat,26,85,2,92.0,-1,0,50000000,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр,МФК ОКО
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301012395/,Москва,sale,flat,3,7,2,91.2,-1,0,90000000,Басманный,Гороховский переулок,12с5,Курская,Гороховский 12
ID 13220074,homeowner,https://www.cian.ru/sale/flat/301434800/,Москва,sale,flat,4,9,2,37.1,-1,0,13490000,Кузьминки,Зеленодольская ,15К2,Кузьминки,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/301250114/,Москва,sale,flat,5,5,2,44.9,-1,0,19990000,Басманный,Сыромятнический проезд,7/14,Чкаловская,
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680551/,Москва,sale,flat,2,15,2,97.26,-1,0,170000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
ID 217145,realtor,https://www.cian.ru/sale/flat/300789381/,Москва,sale,flat,10,12,2,64.5,-1,0,20990000,Соколиная гора,Щербаковская ,16,Семёновская,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/297550308/,Москва,sale,flat,5,12,2,76.1,-1,0,70000000,Пресненский,Большой Палашевский переулок,3,Пушкинская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/292233379/,Москва,sale,flat,3,12,-1,51.8,-1,0,5500000,Северное Тушино,Планерная ,7К4,Планерная,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/296564566/,Москва,sale,flat,4,5,2,44.3,-1,0,5600000,,,5,Подольск,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/296118979/,Москва,sale,flat,2,9,2,37.0,-1,0,9250000,Солнцево, 50 лет Октября,1К1,Говорово,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300108535/,Москва,sale,flat,1,9,2,44.3,-1,0,10700000,Северное Тушино, Фомичевой,16К3,Планерная,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/300820560/,Москва,sale,flat,10,12,2,44.0,-1,0,10800000,Дмитровский,Клязьминская ,4,Грачёвская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300592454/,Москва,sale,flat,1,9,2,56.6,-1,0,11200000,, Усадебный Парк,3,Филатов Луг,Середневский лес
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298829548/,Москва,sale,flat,2,12,2,45.0,-1,0,11450000,Царицыно, Медиков,22к3,Царицыно,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298157794/,Москва,sale,flat,1,5,2,41.0,-1,0,11990000,Аэропорт,Новый Зыковский проезд,5,Гражданская,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/298966070/,Москва,sale,flat,2,9,2,44.4,-1,0,12000000,Новогиреево, Алексея Дикого,20,Новогиреево,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294502101/,Москва,sale,flat,1,5,2,41.0,-1,0,12300000,Аэропорт,Балтийская ,10К1,Сокол,
Андрей Косухин,realtor,https://www.cian.ru/sale/flat/298255599/,Москва,sale,flat,29,34,2,43.0,-1,0,12630000,Южное Бутово, Поляны,5Ак3,Улица Скобелевская,Столичные поляны
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298058278/,Москва,sale,flat,16,17,2,53.5,-1,0,12700000,Бирюлево Западное,Харьковский проезд,9К2,Пражская,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/299518128/,Москва,sale,flat,9,9,2,56.3,-1,0,19390000,Филевский парк,Новозаводская ,2к8А,Фили,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/285616997/,Москва,sale,flat,4,8,2,43.0,-1,0,15750000,Хорошевский, Куусинена,4Ак1,Хорошёвская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/292318097/,Москва,sale,flat,2,8,2,55.1,-1,0,18000000,Академический, Вавилова,17,Ленинский проспект,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300313132/,Москва,sale,flat,9,10,2,53.0,-1,0,13850000,Перово, Плющева,15К1,Перово,
ID 11379024,unknown,https://www.cian.ru/sale/flat/301877924/,Москва,sale,flat,11,16,2,48.0,-1,0,17990000,Зюзино,Азовская ,24К1,Севастопольская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/293819595/,Москва,sale,flat,10,12,2,40.0,-1,0,13500000,Можайский, Красных Зорь,49,Рабочий посёлок,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301178078/,Москва,sale,flat,9,10,2,58.9,-1,0,20000000,Таганский,Волгоградский проспект,17,Волгоградский проспект,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297249992/,Москва,sale,flat,11,17,2,61.0,-1,0,14500000,, Лазурная,6,Коммунарка,Магистр
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298487950/,Москва,sale,flat,5,8,2,54.5,-1,0,20000000,Академический,Профсоюзная ,24К1,Профсоюзная,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300476400/,Москва,sale,flat,5,9,2,45.4,-1,0,17600000,Ломоносовский,Ленинский проспект,85,Университет,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298752564/,Москва,sale,flat,2,17,2,57.8,-1,0,16500000,Отрадное, Декабристов,20К3,Отрадное,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301571461/,Москва,sale,flat,21,24,2,54.2,-1,0,22990000,Даниловский,Автозаводская ,23Бк2,ЗИЛ,Парк Легенд
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/286258865/,Москва,sale,flat,8,27,2,56.1,-1,0,23300000,Лефортово, Крузенштерна,12к1,Авиамоторная,Символ
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300182986/,Москва,sale,flat,17,22,2,52.1,-1,0,17100000,, Родниковая,30к3,Саларьево,Румянцево-Парк
Алексей Ермишин,realtor,https://www.cian.ru/sale/flat/299125015/,Москва,sale,flat,6,25,2,68.4,-1,0,24000000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
ID 221886,realtor,https://www.cian.ru/sale/flat/301499081/,Москва,sale,flat,2,9,2,45.3,-1,0,15500000,Северное Медведково,Студеный проезд,38к1,Медведково,
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/300967746/,Москва,sale,flat,6,24,2,40.0,-1,0,15999000,Митино,Муравская ,46к3,Пятницкое шоссе,Эко-квартал Аквилон Митино
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680521/,Москва,sale,flat,10,14,2,44.0,-1,0,33499000,Раменки,проспект Генерала Дорохова,39к1Б,Минская,Собрание клубных домов West Garden
Ольга Медведева,realtor,https://www.cian.ru/sale/flat/299963315/,Москва,sale,flat,30,30,2,56.7,-1,0,23250000,Можайский, Петра Алексеева,14,Давыдково,КутузовGRAD II
Артем Ченцов,realtor,https://www.cian.ru/sale/flat/297951633/,Москва,sale,flat,9,30,2,49.8,-1,0,27000000,Хорошево-Мневники,Шелепихинская набережная,40к3,Хорошёвская,Sydney City
Иван Ильин,realtor,https://www.cian.ru/sale/flat/301362138/,Москва,sale,flat,6,40,2,78.0,-1,0,30700000,Обручевский,Профсоюзная ,64к2,Новые Черёмушки,Дирижабль
VILLA PRESTIGE,real_estate_agent,https://www.cian.ru/sale/flat/301620183/,Москва,sale,flat,6,8,2,60.0,-1,0,35000000,Дорогомилово,Кутузовский проспект,19,Москва-Сити,
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/300346058/,Москва,sale,flat,15,16,2,55.0,-1,0,17690000,Чертаново Центральное,Варшавское шоссе,142К1,Пражская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301792389/,Москва,sale,flat,5,5,2,44.3,-1,0,14500000,Савеловский,Башиловская ,25,Дмитровская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301296596/,Москва,sale,flat,11,12,2,52.0,-1,0,16400000,Нагатинский затон,Коломенская ,27,Кленовый бульвар,
ID 98820,realtor,https://www.cian.ru/sale/flat/301857419/,Москва,sale,flat,6,9,2,40.0,-1,0,14970000,Южное Тушино,Химкинский бульвар,1,Сходненская,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/296783125/,Москва,sale,flat,4,5,2,42.8,-1,0,11990000,Новогиреево,Мартеновская ,16/36,Новогиреево,
МРИЭЛТОР - офис Отрадное,real_estate_agent,https://www.cian.ru/sale/flat/298839275/,Москва,sale,flat,8,9,2,44.4,-1,0,12000000,Строгино, Исаковского,18,Строгино,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/298139494/,Москва,sale,flat,3,4,2,44.5,-1,0,11000000,Останкинский,проезд Ольминского,7,Алексеевская,
Мария Балакина,realtor,https://www.cian.ru/sale/flat/299496399/,Москва,sale,flat,7,9,2,38.0,-1,0,15200000,Черемушки,Нахимовский проспект,37К2,Профсоюзная,
Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300840758/,Москва,sale,flat,2,9,2,36.0,-1,0,14100000,Алексеевский,Маломосковская ,27,Алексеевская,
Анна Синявская,realtor,https://www.cian.ru/sale/flat/299659010/,Москва,sale,flat,5,9,2,40.0,-1,0,14900000,Марфино,Гостиничный проезд,4,Окружная,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/296801651/,Москва,sale,flat,5,8,2,44.7,-1,0,14190000,Донской,Варшавское шоссе,18К3,Верхние котлы,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301489334/,Москва,sale,flat,7,9,2,38.0,-1,0,14990000,Марфино, Академика Комарова,14А,Фонвизинская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301388065/,Москва,sale,flat,3,18,2,55.8,-1,0,17000000,Кузьминки,Волгоградский проспект,96К2,Кузьминки,
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/300424388/,Москва,sale,flat,4,12,2,44.8,-1,0,13500000,Теплый Стан, Островитянова,28к1,Коньково,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/300475447/,Москва,sale,flat,5,9,2,47.0,-1,0,9500000,Савёлки,Зеленоград,к360,Зеленоград — Крюково,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300074472/,Москва,sale,flat,6,23,2,55.7,-1,0,11500000,Ярославский,Ярославское шоссе,124,Медведково,
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/301061455/,Москва,sale,flat,2,5,2,43.9,-1,0,10490000,Измайлово,Никитинская ,1К3,Измайловская,
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/301227982/,Москва,sale,flat,5,14,2,54.0,-1,0,15000000,Южное Тушино, Свободы,40К1,Сходненская,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300523406/,Москва,sale,flat,3,4,2,61.6,-1,0,18500000,Тимирязевский, Вучетича,11К2,Гражданская,
